USERNAME, TIMESTAMP, ACTION, RESOURCE
ttschubert, 08/03/2017 02:08:33PM, view, system alert CA03754
tbbeard, 07/22/2016 05:03:04PM, view, system alert CA03754
gphsu, 01/09/2017 12:49:46PM, view, system alert CA03754
hflovell, 08/09/2015 02:30:37AM, view, system alert CA03754
akbonilla, 08/02/2016 05:33:59PM, view, system alert CA03754
ttschubert, 05/02/2016 01:27:10PM, view, system alert CA03754
hqcooney, 03/20/2015 04:50:38PM, view, system alert CA03754
gphsu, 02/24/2015 07:28:34AM, view, system alert CA03754
tbbeard, 10/11/2015 04:57:38AM, view, system alert CA03754
akbonilla, 08/10/2015 05:05:56PM, view, system alert CA03754
hflovell, 04/07/2017 02:19:59AM, view, system alert CA03754
gphsu, 12/10/2017 07:49:47AM, view, system alert CA03754
ttschubert, 12/25/2015 03:37:35PM, view, system alert CA03754
ttschubert, 04/21/2015 03:09:41PM, view, system alert CA03754
hqcooney, 10/13/2015 02:47:52AM, view, system alert CA03754
tbbeard, 01/20/2016 11:06:39AM, view, system alert CA03754
pdferrari, 08/10/2016 12:45:48AM, view, system alert CA03754
hflovell, 12/21/2015 04:15:03PM, view, system alert CA03754
hqcooney, 05/06/2017 03:00:59PM, view, system alert CA03754
ttschubert, 10/13/2017 10:06:40AM, view, system alert CA03754
hflovell, 05/05/2017 01:59:38PM, view, system alert CA03578
gphsu, 07/22/2017 10:49:36PM, view, system alert CA03578
tbbeard, 02/20/2017 06:01:14AM, view, system alert CA03578
tbbeard, 04/03/2015 01:19:18AM, view, system alert CA03578
pdferrari, 03/07/2016 05:04:33AM, view, system alert CA03578
ttschubert, 05/14/2015 01:07:36AM, view, system alert CA03578
ttschubert, 01/08/2016 05:01:10AM, view, system alert CA03554
ttschubert, 10/19/2015 01:40:06AM, view, system alert CA03554
gphsu, 12/25/2017 09:49:18PM, view, system alert CA03554
gphsu, 06/19/2017 05:34:09AM, view, system alert CA03554
ttschubert, 02/03/2017 04:26:41PM, view, system alert CA03554
tbbeard, 11/20/2016 01:34:38AM, view, system alert CA03536
tbbeard, 05/18/2017 08:21:01PM, view, system alert CA03290
tbbeard, 04/23/2015 10:37:45AM, view, system alert CA03101
hflovell, 08/09/2016 02:44:01AM, view, system alert CA03101
pdferrari, 09/09/2017 01:55:42PM, view, system alert CA03101
hflovell, 03/21/2015 04:49:10PM, view, system alert CA03101
pdferrari, 05/06/2017 11:13:22AM, view, system alert CA03069
ttschubert, 08/22/2015 06:03:35AM, view, system alert CA03069
pdferrari, 07/10/2016 08:34:45AM, view, system alert CA03069
gphsu, 03/02/2017 04:41:17AM, view, system alert CA03069
hflovell, 04/10/2015 09:53:54PM, view, system alert CA03069
hflovell, 06/01/2017 05:14:42AM, view, system alert CA03069
gphsu, 05/03/2017 03:34:15AM, view, system alert CA03069
gphsu, 03/04/2017 04:03:37AM, view, system alert CA03069
hflovell, 05/09/2017 01:28:08PM, view, system alert CA03069
hflovell, 06/27/2015 03:23:52PM, view, system alert CA03069
pdferrari, 10/14/2016 09:51:13AM, view, system alert CA03069
tbbeard, 12/10/2016 03:06:09PM, view, system alert CA03069
pdferrari, 11/07/2017 11:04:45PM, view, system alert CA03069
tbbeard, 08/16/2017 02:49:18AM, view, system alert CA03031
gphsu, 03/22/2015 01:19:02AM, view, system alert CA03031
akbonilla, 07/17/2015 04:28:01AM, view, system alert CA03031
akbonilla, 11/11/2016 08:31:26PM, view, system alert CA03031
tbbeard, 05/02/2016 02:55:57PM, view, system alert CA03031
hqcooney, 06/12/2017 04:21:20PM, view, system alert CA02835
gphsu, 09/16/2016 03:00:37AM, view, system alert CA02835
pdferrari, 02/18/2016 01:39:29AM, view, system alert CA02725
pdferrari, 01/15/2016 11:08:27AM, view, system alert CA02725
hqcooney, 06/07/2017 02:15:25PM, view, system alert CA02725
gphsu, 03/01/2017 01:16:57PM, view, system alert CA02725
hflovell, 02/01/2016 09:42:59PM, view, system alert CA02310
akbonilla, 06/09/2017 12:46:07AM, view, system alert CA02310
hqcooney, 10/26/2017 04:19:13PM, view, system alert CA02155
hflovell, 12/06/2015 03:34:16PM, view, system alert CA02155
gphsu, 10/11/2015 04:18:40AM, view, system alert CA02155
hflovell, 03/27/2015 12:11:01PM, view, system alert CA02155
hflovell, 08/16/2017 12:31:13PM, view, system alert CA02155
gphsu, 09/08/2016 11:04:38PM, view, system alert CA02155
akbonilla, 12/04/2015 04:33:23AM, view, system alert CA02155
hqcooney, 06/21/2015 07:15:22AM, view, system alert CA02155
gphsu, 02/26/2015 09:37:10PM, view, system alert CA02155
tbbeard, 08/05/2015 12:48:50AM, view, system alert CA02155
hqcooney, 10/17/2016 09:55:03AM, view, system alert CA02155
ttschubert, 09/09/2015 10:29:48AM, view, system alert CA02155
tbbeard, 06/07/2015 05:28:44PM, view, system alert CA02155
hqcooney, 07/09/2015 02:27:44PM, view, system alert CA02155
hflovell, 10/01/2016 02:47:10PM, view, system alert CA02155
gphsu, 04/14/2016 07:47:47AM, view, system alert CA02155
akbonilla, 09/13/2017 11:22:04AM, view, system alert CA02155
hqcooney, 10/09/2016 04:46:07PM, view, system alert CA02155
ttschubert, 12/11/2017 01:58:23PM, view, system alert CA02155
tbbeard, 08/08/2015 09:44:47AM, view, system alert CA02155
hflovell, 01/09/2015 10:59:09AM, view, system alert CA02155
ttschubert, 09/04/2016 05:36:13AM, view, system alert CA02155
gphsu, 01/26/2015 06:58:36PM, view, system alert CA02155
pdferrari, 07/22/2017 04:01:43AM, view, system alert CA02155
tbbeard, 09/16/2016 02:12:33PM, view, system alert CA02155
hflovell, 04/04/2016 09:02:27AM, view, system alert CA02155
gphsu, 10/08/2015 12:45:52AM, view, system alert CA02155
ttschubert, 12/25/2016 09:35:02AM, view, system alert CA02155
akbonilla, 02/21/2016 09:59:01AM, view, system alert CA02155
hflovell, 08/16/2017 04:36:36PM, view, system alert CA02155
hflovell, 08/06/2017 05:04:10PM, view, system alert CA02155
hflovell, 07/05/2015 03:52:34PM, view, system alert CA02155
ttschubert, 11/24/2016 10:23:05PM, view, system alert CA02155
pdferrari, 07/11/2016 03:48:49AM, view, system alert CA02155
tbbeard, 07/25/2016 09:43:02AM, view, system alert CA01763
hflovell, 06/26/2017 01:59:03AM, view, system alert CA01613
ttschubert, 06/22/2017 12:07:43AM, view, system alert CA01613
pdferrari, 12/10/2015 09:32:58AM, view, system alert CA01613
tbbeard, 06/14/2015 12:30:48PM, view, system alert CA01613
hqcooney, 03/04/2015 08:53:42PM, view, system alert CA01613
tbbeard, 01/03/2016 08:33:11PM, view, system alert CA01613
pdferrari, 09/16/2017 01:57:57PM, view, system alert CA01613
pdferrari, 07/27/2015 04:55:54PM, view, system alert CA01613
ttschubert, 04/10/2017 10:14:45AM, view, system alert CA01613
ttschubert, 01/08/2016 09:16:44PM, view, system alert CA01613
hflovell, 11/09/2015 08:37:51AM, view, system alert CA01613
akbonilla, 04/25/2017 12:38:44AM, view, system alert CA01613
hflovell, 11/26/2015 12:24:02PM, view, system alert CA01613
akbonilla, 09/01/2015 11:35:45PM, view, system alert CA01613
hflovell, 03/19/2016 07:21:45AM, view, system alert CA01613
tbbeard, 02/20/2015 06:32:20PM, view, system alert CA01613
ttschubert, 01/26/2015 11:18:32AM, view, system alert CA01613
hqcooney, 06/05/2016 10:13:39AM, view, system alert CA01613
akbonilla, 02/18/2015 01:54:18AM, view, system alert CA01613
hqcooney, 12/21/2015 10:17:03AM, view, system alert CA01613
hqcooney, 01/12/2017 10:36:09PM, view, system alert CA01613
akbonilla, 04/14/2015 04:18:50PM, view, system alert CA01613
hqcooney, 02/09/2017 04:44:19AM, view, system alert CA01613
hflovell, 04/04/2017 01:58:00PM, view, system alert CA01613
hflovell, 01/27/2015 07:09:15AM, view, system alert CA01613
akbonilla, 04/21/2016 08:12:24AM, view, system alert CA01613
hqcooney, 03/27/2017 06:32:22PM, view, system alert CA01613
pdferrari, 07/25/2017 09:02:31AM, view, system alert CA01613
hflovell, 08/08/2017 05:41:40AM, view, system alert CA01613
hflovell, 03/14/2016 03:30:50AM, view, system alert CA01613
hqcooney, 08/14/2017 05:18:59AM, view, system alert CA01613
akbonilla, 11/04/2017 05:04:58AM, view, system alert CA01613
pdferrari, 07/04/2017 12:05:50AM, view, system alert CA01613
akbonilla, 12/01/2016 06:58:00AM, view, system alert CA01613
akbonilla, 02/23/2015 07:21:34PM, view, system alert CA01613
hflovell, 06/17/2016 04:40:08PM, view, system alert CA01613
hqcooney, 10/01/2016 08:48:47PM, view, system alert CA01613
pdferrari, 11/22/2017 11:08:36AM, view, system alert CA01613
ttschubert, 01/24/2016 07:23:56AM, view, system alert CA01613
akbonilla, 06/04/2016 05:49:23AM, view, system alert CA01613
pdferrari, 04/24/2015 11:29:36AM, view, system alert CA01613
gphsu, 08/06/2016 10:33:48AM, view, system alert CA01613
tbbeard, 03/24/2017 12:08:47AM, view, system alert CA01613
gphsu, 12/02/2017 02:52:30AM, view, system alert CA01613
gphsu, 09/02/2017 10:07:25PM, view, system alert CA01613
gphsu, 10/27/2017 12:03:21AM, view, system alert CA01613
akbonilla, 09/12/2015 11:16:42PM, view, system alert CA01613
hflovell, 08/08/2016 09:51:15AM, view, system alert CA01613
pdferrari, 05/16/2017 10:01:43AM, view, system alert CA01613
ttschubert, 12/27/2016 04:20:03AM, view, system alert CA01401
tbbeard, 03/22/2017 05:04:10PM, view, system alert CA01401
akbonilla, 03/07/2015 03:31:58PM, view, system alert CA01401
pdferrari, 02/02/2017 02:12:13AM, view, system alert CA01401
gphsu, 02/12/2016 09:35:36AM, view, system alert CA01401
hqcooney, 08/07/2017 12:59:11AM, view, system alert CA01401
gphsu, 11/06/2017 06:06:50PM, view, system alert CA01401
gphsu, 04/26/2016 03:38:39PM, view, system alert CA01401
hflovell, 01/02/2015 12:11:17PM, view, system alert CA01401
pdferrari, 06/06/2015 01:38:38PM, view, system alert CA01401
gphsu, 02/22/2016 05:24:58PM, view, system alert CA01401
tbbeard, 10/20/2016 03:41:55PM, view, system alert CA01401
ttschubert, 04/11/2015 12:23:43AM, view, system alert CA01401
pdferrari, 04/14/2015 01:19:36AM, view, system alert CA01401
akbonilla, 11/24/2016 04:59:47PM, view, system alert CA01401
hflovell, 05/06/2017 09:38:20AM, view, system alert CA01401
gphsu, 06/21/2016 09:09:00AM, view, system alert CA01401
tbbeard, 08/20/2016 08:09:44PM, view, system alert CA01401
gphsu, 02/08/2017 09:51:35PM, view, system alert CA01401
ttschubert, 07/12/2015 10:35:29PM, view, system alert CA01401
gphsu, 11/03/2017 01:21:02AM, view, system alert CA01401
hqcooney, 02/16/2015 09:54:36PM, view, system alert CA01401
akbonilla, 11/18/2016 09:55:06PM, view, system alert CA01401
ttschubert, 11/17/2015 07:31:12PM, view, system alert CA01401
hqcooney, 02/06/2015 10:49:21AM, view, system alert CA01401
gphsu, 09/13/2015 10:18:03PM, view, system alert CA01401
akbonilla, 05/04/2016 08:42:26AM, view, system alert CA01401
pdferrari, 03/13/2015 06:00:49PM, view, system alert CA01401
akbonilla, 09/07/2017 03:23:40AM, view, system alert CA01401
gphsu, 07/01/2017 07:56:23AM, view, system alert CA01401
hqcooney, 05/12/2016 04:55:10AM, view, system alert CA01401
akbonilla, 04/06/2017 03:21:45AM, view, system alert CA01401
gphsu, 09/22/2016 08:43:44AM, view, system alert CA01401
tbbeard, 11/14/2016 10:28:48PM, view, system alert CA01401
ttschubert, 03/12/2015 09:21:09PM, view, system alert CA01401
pdferrari, 01/11/2016 10:20:14AM, view, system alert CA01201
hqcooney, 03/14/2017 08:21:27PM, view, system alert CA00425
ttschubert, 01/04/2016 03:14:38PM, view, patient specific instructions A866
tbbeard, 02/01/2015 07:42:16PM, view, patient specific instructions A357
ttschubert, 06/18/2016 09:49:51AM, view, patient specific instructions A357
hqcooney, 11/24/2016 07:58:41PM, view, patient specific instructions A239
akbonilla, 07/09/2015 05:59:24PM, view, patient specific instructions A199
tbbeard, 09/01/2015 10:26:46AM, view, patient specific instructions A1280
ttschubert, 07/03/2015 05:15:26PM, view, patient specific instructions A1216
pdferrari, 11/17/2017 05:43:05AM, view, patient specific instructions A1216
hflovell, 01/07/2017 06:14:36PM, view, patient specific instructions A1216
pdferrari, 11/06/2016 08:52:16AM, view, patient specific instructions A1216
pdferrari, 03/17/2017 10:40:09AM, view, patient specific instructions A1216
ttschubert, 10/03/2016 07:55:26PM, view, patient specific instructions A1216
hqcooney, 08/12/2015 06:00:39PM, view, patient specific instructions A1216
ttschubert, 04/25/2015 12:44:16PM, view, patient specific instructions A1216
ttschubert, 01/11/2015 06:33:08PM, view, patient specific instructions A1216
gphsu, 12/07/2016 06:30:07AM, view, patient specific instructions A1216
pdferrari, 08/15/2015 09:00:36PM, view, patient specific instructions A1216
tbbeard, 06/22/2015 11:49:04AM, view, patient specific instructions A1216
akbonilla, 02/05/2017 01:33:37AM, view, patient specific instructions A1216
akbonilla, 11/10/2017 12:48:33PM, view, office visit OV05571
pdferrari, 03/17/2015 02:03:54AM, view, office visit OV05571
ttschubert, 01/18/2017 04:17:18PM, view, office visit OV05571
hqcooney, 10/23/2016 10:50:06PM, view, office visit OV05571
tbbeard, 04/15/2017 04:45:15AM, view, office visit OV05571
ttschubert, 11/26/2016 05:48:58AM, view, office visit OV05571
ttschubert, 06/27/2016 03:13:15AM, view, office visit OV05571
tbbeard, 07/08/2017 12:31:37AM, view, office visit OV05571
ttschubert, 11/10/2015 11:54:41PM, view, office visit OV05571
pdferrari, 09/04/2016 09:00:33AM, view, office visit OV05571
gphsu, 06/11/2017 06:33:42AM, view, office visit OV05571
hflovell, 10/04/2017 11:03:28AM, view, office visit OV05571
hqcooney, 11/02/2017 08:15:04PM, view, office visit OV05571
pdferrari, 11/05/2015 10:09:52AM, view, office visit OV05571
akbonilla, 03/03/2017 01:49:50AM, view, office visit OV05571
hflovell, 01/08/2016 02:15:09PM, view, office visit OV05571
hqcooney, 01/18/2017 12:12:15PM, view, office visit OV05571
pdferrari, 01/07/2017 08:27:48PM, view, office visit OV05571
ttschubert, 09/09/2017 05:41:49AM, view, office visit OV04637
gphsu, 07/15/2017 01:07:04PM, view, office visit OV04637
akbonilla, 12/27/2015 04:20:14PM, view, office visit OV04637
akbonilla, 06/27/2015 01:15:06AM, view, office visit OV04637
ttschubert, 07/07/2015 09:59:13PM, view, office visit OV04637
pdferrari, 02/24/2016 07:23:35AM, view, office visit OV04637
pdferrari, 06/01/2016 07:54:56PM, view, office visit OV04637
tbbeard, 04/07/2017 12:33:52AM, view, office visit OV04637
pdferrari, 10/15/2017 04:08:19PM, view, office visit OV04637
gphsu, 11/27/2017 12:48:57AM, view, office visit OV04637
pdferrari, 03/26/2015 11:43:06AM, view, office visit OV04612
akbonilla, 04/03/2016 05:55:00AM, view, office visit OV04612
hqcooney, 10/25/2017 02:38:43PM, view, office visit OV04612
gphsu, 12/21/2017 02:29:28PM, view, office visit OV04612
ttschubert, 05/03/2017 09:23:39AM, view, office visit OV04612
hqcooney, 10/27/2016 09:12:17AM, view, office visit OV04612
tbbeard, 08/07/2017 06:57:52AM, view, office visit OV04612
tbbeard, 01/15/2015 06:50:46PM, view, office visit OV04612
akbonilla, 03/09/2016 04:57:44AM, view, office visit OV04558
tbbeard, 05/24/2015 08:47:45AM, view, office visit OV04279
gphsu, 04/26/2016 06:54:32AM, view, office visit OV04279
gphsu, 02/11/2016 11:38:38AM, view, office visit OV04279
hqcooney, 06/18/2016 04:31:55AM, view, office visit OV04279
ttschubert, 01/16/2017 03:18:00PM, view, office visit OV04279
pdferrari, 10/16/2017 05:05:38AM, view, office visit OV04279
gphsu, 10/18/2015 09:36:06PM, view, office visit OV04279
hqcooney, 08/21/2016 06:14:08PM, view, office visit OV04254
hqcooney, 06/16/2015 11:28:49AM, view, office visit OV04254
pdferrari, 03/02/2015 11:30:47AM, view, office visit OV04254
pdferrari, 07/13/2017 12:03:09PM, view, office visit OV04254
gphsu, 08/21/2015 06:49:50PM, view, office visit OV04254
hflovell, 01/27/2015 03:38:56AM, view, office visit OV04254
hqcooney, 05/08/2017 08:02:10PM, view, office visit OV04254
hqcooney, 12/27/2016 07:11:16PM, view, office visit OV04254
akbonilla, 02/08/2016 06:05:34AM, view, office visit OV04254
akbonilla, 08/08/2015 03:30:01PM, view, office visit OV04254
akbonilla, 11/02/2016 01:33:04PM, view, office visit OV04254
ttschubert, 03/26/2017 02:48:11AM, view, office visit OV04254
akbonilla, 02/13/2016 08:53:59PM, view, office visit OV04254
gphsu, 02/08/2015 01:29:56PM, view, office visit OV04254
tbbeard, 05/24/2015 10:53:28PM, view, office visit OV04222
hflovell, 08/22/2015 04:16:16PM, view, office visit OV04222
pdferrari, 12/22/2016 02:27:13PM, view, office visit OV04209
hqcooney, 07/05/2016 09:46:21PM, view, office visit OV04209
ttschubert, 10/21/2015 03:42:10AM, view, office visit OV04019
ttschubert, 03/02/2015 12:05:49AM, view, office visit OV04019
pdferrari, 12/16/2016 03:01:55PM, view, office visit OV04019
ttschubert, 12/26/2017 05:21:24AM, view, office visit OV04019
tbbeard, 07/02/2015 02:22:46PM, view, office visit OV04019
hqcooney, 05/24/2016 12:28:39AM, view, office visit OV04019
pdferrari, 01/12/2016 05:44:52AM, view, office visit OV04019
akbonilla, 10/08/2017 03:08:46PM, view, office visit OV04019
ttschubert, 06/27/2017 04:01:00AM, view, office visit OV04019
pdferrari, 08/08/2016 09:07:46AM, view, office visit OV04019
akbonilla, 11/12/2017 02:42:21AM, view, office visit OV04019
pdferrari, 02/07/2017 05:25:51PM, view, office visit OV04019
tbbeard, 09/19/2016 11:09:57AM, view, office visit OV04019
hflovell, 10/02/2016 07:38:37AM, view, office visit OV04019
hflovell, 12/15/2017 08:01:43AM, view, office visit OV04019
tbbeard, 01/10/2015 09:58:23AM, view, office visit OV04019
pdferrari, 05/19/2016 02:31:27AM, view, office visit OV04019
hflovell, 01/19/2015 11:34:44PM, view, office visit OV03779
hflovell, 09/05/2015 06:12:14PM, view, office visit OV03749
akbonilla, 03/01/2015 02:01:30AM, view, office visit OV03749
tbbeard, 06/03/2016 09:13:05AM, view, office visit OV03749
hqcooney, 10/12/2015 07:13:50PM, view, office visit OV03749
ttschubert, 07/17/2015 02:05:36PM, view, office visit OV03749
ttschubert, 09/02/2015 05:50:47PM, view, office visit OV03749
hqcooney, 10/09/2016 12:47:35PM, view, office visit OV03749
hflovell, 02/16/2017 05:39:51PM, view, office visit OV03749
gphsu, 02/10/2017 07:12:27AM, view, office visit OV03749
pdferrari, 09/27/2016 09:50:19PM, view, office visit OV03749
akbonilla, 01/10/2015 11:34:11PM, view, office visit OV03749
gphsu, 12/18/2017 07:19:36PM, view, office visit OV03749
tbbeard, 07/12/2015 09:57:16AM, view, office visit OV03749
gphsu, 02/25/2016 11:09:52AM, view, office visit OV03749
tbbeard, 11/13/2015 02:10:37PM, view, office visit OV03749
ttschubert, 11/22/2015 09:18:38PM, view, office visit OV03749
akbonilla, 06/13/2016 02:31:39PM, view, office visit OV03749
hqcooney, 01/02/2017 01:19:31PM, view, office visit OV03749
gphsu, 12/17/2015 04:18:30PM, view, office visit OV03749
tbbeard, 01/06/2017 01:14:46AM, view, office visit OV03749
tbbeard, 04/11/2015 11:14:24PM, view, office visit OV03749
ttschubert, 06/15/2016 09:04:59AM, view, office visit OV03749
gphsu, 08/07/2017 02:30:53PM, view, office visit OV03749
hqcooney, 03/21/2015 05:17:45PM, view, office visit OV03749
pdferrari, 09/16/2017 11:04:58PM, view, office visit OV03749
akbonilla, 02/20/2017 07:34:51AM, view, office visit OV03749
pdferrari, 08/25/2015 02:47:03PM, view, office visit OV03362
ttschubert, 09/19/2016 01:49:45AM, view, office visit OV03362
gphsu, 01/16/2015 02:19:28AM, view, office visit OV03362
tbbeard, 01/05/2015 09:27:05AM, view, office visit OV03362
ttschubert, 03/27/2016 10:28:16AM, view, office visit OV03362
gphsu, 01/08/2015 04:43:24PM, view, office visit OV03362
akbonilla, 03/26/2016 01:31:22PM, view, office visit OV03330
akbonilla, 02/20/2015 09:55:35AM, view, office visit OV03330
hflovell, 01/21/2016 10:50:17PM, view, office visit OV03130
hflovell, 11/22/2015 02:21:44AM, view, office visit OV03130
akbonilla, 05/04/2015 08:50:37PM, view, office visit OV02937
gphsu, 02/07/2015 10:46:00PM, view, office visit OV02873
pdferrari, 08/07/2016 06:04:26PM, view, office visit OV02842
ttschubert, 11/09/2017 12:36:43PM, view, office visit OV02124
hqcooney, 12/26/2017 03:02:16PM, view, office visit OV02058
tbbeard, 05/03/2016 08:15:40PM, view, office visit OV01538
hqcooney, 10/04/2016 02:03:52AM, view, office visit OV01538
pdferrari, 05/17/2015 05:44:45PM, view, office visit OV01538
akbonilla, 05/26/2017 03:31:58PM, view, office visit OV01538
akbonilla, 06/13/2015 11:07:48AM, view, office visit OV01538
gphsu, 01/15/2017 06:15:57AM, view, office visit OV01538
ttschubert, 04/07/2015 12:47:57PM, view, office visit OV01538
gphsu, 10/12/2017 08:54:43AM, view, office visit OV01538
pdferrari, 05/18/2015 12:46:37AM, view, office visit OV01538
ttschubert, 05/13/2015 01:20:52PM, view, office visit OV01538
ttschubert, 07/17/2017 10:08:02PM, view, office visit OV01538
gphsu, 07/08/2017 09:18:31PM, view, office visit OV01538
hflovell, 05/25/2017 01:23:44AM, view, office visit OV01538
akbonilla, 08/23/2017 04:36:09PM, view, office visit OV01538
hqcooney, 08/25/2015 05:25:58PM, view, office visit OV01538
hflovell, 08/20/2015 12:25:15AM, view, office visit OV01538
tbbeard, 09/11/2015 01:16:07AM, view, office visit OV01450
gphsu, 10/18/2017 11:11:57AM, view, office visit OV01270
